2022-04-13T15:37:37.502008, DEBUG, debug, Index, Execution started
2022-04-13T15:37:37.502369, DEBUG, debug, Index, Execution finished
2022-04-13T15:37:37.502791, DEBUG, debug, run, Execution started
2022-04-13T15:37:37.505957, DEBUG, debug, run, Execution finished
2022-04-13T15:37:44.815686, DEBUG, debug, Index, Execution started
2022-04-13T15:37:44.816007, DEBUG, debug, Index, Execution finished
2022-04-13T15:37:44.816296, DEBUG, debug, run, Execution started
2022-04-13T15:37:44.819201, DEBUG, debug, run, Execution finished
2022-04-13T15:37:47.750214, DEBUG, debug, Index, Execution started
2022-04-13T15:37:47.750557, DEBUG, debug, Index, Execution finished
2022-04-13T15:37:47.750950, DEBUG, debug, run, Execution started
2022-04-13T15:37:47.753820, DEBUG, debug, run, Execution finished
2022-04-13T15:38:08.577409, DEBUG, debug, Index, Execution started
2022-04-13T15:38:08.577744, DEBUG, debug, Index, Execution finished
2022-04-13T15:38:08.578032, DEBUG, debug, run, Execution started
2022-04-13T15:38:08.580922, DEBUG, debug, run, Execution finished
2022-04-13T15:38:16.276807, DEBUG, debug, Index, Execution started
2022-04-13T15:38:16.277144, DEBUG, debug, Index, Execution finished
2022-04-13T15:38:16.277434, DEBUG, debug, run, Execution started
2022-04-13T15:38:16.280386, DEBUG, debug, run, Execution finished
2022-04-13T15:42:21.499739, DEBUG, debug, app, Test debug message
2022-04-13T15:43:10.593030, DEBUG, debug, app, Test debug message
2022-04-13T15:43:34.703171, DEBUG, debug, Index, Execution started
2022-04-13T15:43:34.703559, DEBUG, debug, Index, Execution finished
2022-04-13T15:43:34.703887, DEBUG, debug, run, Execution started
2022-04-13T15:43:34.707212, DEBUG, debug, run, Execution finished
2022-04-13T15:43:36.941185, DEBUG, debug, Index, Execution started
2022-04-13T15:43:36.941527, DEBUG, debug, Index, Execution finished
2022-04-13T15:43:36.941920, DEBUG, debug, run, Execution started
2022-04-13T15:43:36.944774, DEBUG, debug, run, Execution finished
2022-04-13T15:43:37.661292, DEBUG, debug, Index, Execution started
2022-04-13T15:43:37.661644, DEBUG, debug, Index, Execution finished
2022-04-13T15:43:37.661976, DEBUG, debug, run, Execution started
2022-04-13T15:43:37.664806, DEBUG, debug, run, Execution finished
2022-04-13T15:43:59.349985, DEBUG, debug, Index, Execution started
2022-04-13T15:43:59.350378, DEBUG, debug, Index, Execution finished
2022-04-13T15:43:59.350714, DEBUG, debug, run, Execution started
2022-04-13T15:43:59.353777, DEBUG, debug, run, Execution finished
2022-04-13T15:44:18.493508, DEBUG, debug, app, Test debug message
2022-04-13T15:44:39.488024, DEBUG, debug, Index, Execution started
2022-04-13T15:44:39.488375, DEBUG, debug, Index, Execution finished
2022-04-13T15:44:39.488775, DEBUG, debug, run, Execution started
2022-04-13T15:44:39.491839, DEBUG, debug, run, Execution finished
2022-04-13T15:45:02.203492, DEBUG, debug, Index, Execution started
2022-04-13T15:45:02.203897, DEBUG, debug, Index, Execution finished
2022-04-13T15:45:02.204242, DEBUG, debug, run, Execution started
2022-04-13T15:45:02.207248, DEBUG, debug, run, Execution finished
2022-04-13T15:58:46.593757, DEBUG, debug, app, Test debug message
2022-04-13T15:58:56.134310, DEBUG, debug, Index, Execution started
2022-04-13T15:58:56.134692, DEBUG, debug, Index, Execution finished
2022-04-13T15:58:56.135019, DEBUG, debug, run, Execution started
2022-04-13T16:06:35.127540, DEBUG, debug, app, Test debug message
2022-04-13T16:06:41.767108, DEBUG, debug, Index, Execution started
2022-04-13T16:06:41.767476, DEBUG, debug, Index, Execution finished
2022-04-13T16:06:41.767876, DEBUG, debug, run, Execution started
2022-04-13T16:07:48.922764, DEBUG, debug, app, Test debug message
2022-04-13T16:07:52.266995, DEBUG, debug, Index, Execution started
2022-04-13T16:07:52.267344, DEBUG, debug, Index, Execution finished
2022-04-13T16:07:52.267791, DEBUG, debug, run, Execution started
2022-04-13T16:07:52.270946, DEBUG, debug, run, Execution finished
2022-04-13T22:41:18.991715, DEBUG, debug, app, Test debug message
2022-04-13T22:41:28.306852, DEBUG, debug, Index, Execution started
2022-04-13T22:41:28.307212, DEBUG, debug, Index, Execution finished
2022-04-13T22:41:28.307535, DEBUG, debug, run, Execution started
2022-04-13T22:41:28.310837, DEBUG, debug, run, Execution finished
2022-04-13T22:49:30.534745, DEBUG, debug, app, Test debug message
